flrID,catalog,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,submissionTime,versionId,link,linkedEvents,sentNotifications,data_evento,duracao_minutos,instrumentos
2026-01-01T02:15:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-01-01 02:15:00+00:00,2026-01-01 02:25:00+00:00,2026-01-01 02:33:00+00:00,C9.6,S10E03,14325.0,,2026-01-01T18:32Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/43712/-1,[{'activityID': '2026-01-01T03:53:00-CME-001'}],,2026-01-01,18.0,GOES-P: EXIS 1.0-8.0
2026-01-01T17:27:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-01-01 17:27:00+00:00,2026-01-01 17:59:00+00:00,2026-01-01 18:30:00+00:00,C6.2,N24E01,14324.0,,2026-01-01T21:18Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/43718/-1,[{'activityID': '2026-01-01T19:36:00-CME-001'}],,2026-01-01,63.0,GOES-P: EXIS 1.0-8.0
2026-01-06T00:10:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-01-06 00:10:00+00:00,2026-01-06 00:26:00+00:00,2026-01-06 00:50:00+00:00,C2.2,S15E33,14334.0,,2026-01-06T20:06Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/43771/-1,[{'activityID': '2026-01-06T02:00:00-CME-001'}],,2026-01-06,40.0,GOES-P: EXIS 1.0-8.0
2026-01-06T15:43:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-01-06 15:43:00+00:00,2026-01-06 15:55:00+00:00,2026-01-06 16:04:00+00:00,C4.0,S13E25,14334.0,,2026-01-06T22:30Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/43786/-1,[{'activityID': '2026-01-06T16:38:00-CME-001'}],,2026-01-06,21.0,GOES-P: EXIS 1.0-8.0
2026-01-07T03:44:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-01-07 03:44:00+00:00,2026-01-07 03:54:00+00:00,2026-01-07 03:57:00+00:00,C2.9,S15E18,14334.0,,2026-01-07T14:13Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/43791/-1,[{'activityID': '2026-01-07T04:23:00-CME-001'}],,2026-01-07,13.0,GOES-P: EXIS 1.0-8.0
2026-01-07T06:06:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-01-07 06:06:00+00:00,2026-01-07 06:12:00+00:00,2026-01-07 06:14:00+00:00,C7.4,S15E16,14334.0,,2026-01-12T02:44Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/43808/-1,[{'activityID': '2026-01-07T06:53:00-CME-001'}],,2026-01-07,8.0,GOES-P: EXIS 1.0-8.0
2026-01-08T05:24:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-01-08 05:24:00+00:00,2026-01-08 05:42:00+00:00,2026-01-08 05:49:00+00:00,C4.4,S18E05,14334.0,,2026-01-08T13:32Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/43818/-1,[{'activityID': '2026-01-08T05:53:00-CME-001'}],,2026-01-08,25.0,GOES-P: EXIS 1.0-8.0
2026-01-08T16:18:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-01-08 16:18:00+00:00,2026-01-08 17:30:00+00:00,2026-01-08 18:46:00+00:00,C5.6,S18E03,14334.0,,2026-01-08T22:26Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/43838/-1,[{'activityID': '2026-01-08T17:00:00-CME-001'}],,2026-01-08,148.0,GOES-P: EXIS 1.0-8.0
2026-01-08T19:45:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-01-08 19:45:00+00:00,2026-01-08 19:56:00+00:00,2026-01-08 20:07:00+00:00,C3.4,S14W04,14334.0,,2026-01-09T17:47Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/43866/-1,[{'activityID': '2026-01-08T21:48:00-CME-001'}],,2026-01-08,22.0,GOES-P: EXIS 1.0-8.0
2026-01-10T19:31:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-01-10 19:31:00+00:00,2026-01-10 19:42:00+00:00,2026-01-10 20:00:00+00:00,C2.1,S16W04,14339.0,,2026-01-11T02:28Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/43894/-1,"[{'activityID': '2026-01-10T20:36:00-CME-001'}, {'activityID': '2026-01-10T20:48:00-CME-001'}]",,2026-01-10,29.0,GOES-P: EXIS 1.0-8.0
